id,title,author,year
01HJTPJM1TBH5R1XF5RED105XQ,Speed Racer,Weylin Blunden,1990
01HJTPJM54H8M0WAPYDNYA8H86,"King of Kong, The",Jennie Biddwell,2014
01HJTPJM54TKDV87KQZ0P50YFX,Tears of April (Käsky),Burton Power,2001
01HJTPJM55YE7NJFA2VN2FGH1N,Take the High Ground!,Rancell McCullen,2004
01HJTPJM56J18EYD2ECEKW4PPZ,Amreeka,Jane Pinches,2003
01HJTPJM5643SPNTHW9DXK113D,1492: Conquest of Paradise,Sisely Zanneli,1999
01HJTPJM57PNZTTKY3HZ32TDZ3,"Good Girl, The",Maribeth Tidy,2012
01HJTPJM57GJ494QC6TKFQNCY2,When Harry Met Sally...,Cobbie Cogle,2002
01HJTPJM58AF8FSXEJNQPWJG1E,Apollo 13,Emery Bowle,2017
01HJTPJM5939VHFQ8YW8EM6GTT,"Undead, The",Shellie Emes,1997
01HJTPJM59CQMJAZCB3ABW6R7K,Patton Oswalt: Werewolves and Lollipops,Ros Sparke,2007
01HJTPJM5AWEVZDYF9SNNZ7E3J,Young Gods (Hymypoika),Lazar Tzarkov,2006
01HJTPJM5B5D70XMAVMVX1JEGB,Next of Kin,Frederica Rassell,1993
01HJTPJM5C5ZRPXDYXQBPSD62F,Breakin' 2: Electric Boogaloo,Moss Ingledow,2009
01HJTPJM5DZN3XSA80JJKA4QK8,"Hard Man, The",Gallard Gagin,2013
01HJTPJM5DSHKDQMVPN67HC4RC,"Reformer and the Redhead, The",Cassie Chinnick,1993
01HJTPJM5E58ZJD4BPZ0C9XZKD,Virgin Territory,Rockie Gervaise,2001
01HJTPJM5E8M38BNC0HD09ZRZJ,Babylon 5,Nathaniel Cockarill,1999
01HJTPJM5FYP8X3VXD3W8EQBSY,Lola and Billy the Kid (Lola + Bilidikid),Betta Reace,2020
01HJTPJM5GGFE7F1MTCPNYGV09,Edison Kinetoscopic Record of a Sneeze,Jodie Kincaid,2011
01HJTPJM5HRXQNGPBKFY94E4FC,Coming Home (Gui lai),Baxy Mattsson,1992
01HJTPJM5HESWJW1KGWCNCWRSY,"NeverEnding Story II: The Next Chapter, The",Herc Dawber,2000
01HJTPJM5J5FDA8EH5SP5K29MS,All the Fine Young Cannibals,Thia Meddemmen,2015
01HJTPJM5JZM95J6Q75R8GXQ38,Santitos,Brendon Orneles,2016
01HJTPJM5K7V9JCWJGNGV8GV35,Comic Book Confidential,Elysia Dulen,2006
01HJTPJM5MYXGNDVYXRD5GVT90,Road Trip: Beer Pong,Pryce Lineen,2007
01HJTPJM5MTVNSJPVB2T118CG4,"Shining, The",Portia Manchester,2000
01HJTPJM5NYBZ6E1VH2M2N03QW,"Bye Bye, Love",Allin MacNeish,2013
01HJTPJM5NHVGQ0SW542H105DW,Liar's Dice,Nikola Vaughten,2000
01HJTPJM5PQTVPGS0M3DWXG7K5,Waiting for Guffman,Berky Denizet,2001
01HJTPJM5QE0H1M4CSZW967P4K,Great Freedom No. 7 (Port of Freedom) (Große Freiheit Nr. 7),Allyn Lacase,2000
01HJTPJM5QZ7Y4MGN0DYVFCP8Y,From Beginning to End (Do Começo ao Fim),Benedicto Croll,1993
01HJTPJM5RWJ10ZVGY1V4BTH4H,"Flying Swords of Dragon Gate, The (Long men fei jia)",Margie Hunte,2016
01HJTPJM5SV7HBGVPNMBXZFG7A,"Juror, The",Galen Ganiford,1999
01HJTPJM5S3YYXWQJMANBSN9X7,Angels and Insects,Scotty Sherwell,1998
